;fecha;año;Mes;Día;Hora;perfil_20
17615;2024-01-04;2024;1;4;24;0.00015482235968706826
17616;2024-01-05;2024;1;5;1;0.00012583217462153366
17617;2024-01-05;2024;1;5;2;0.00010336264204897656
17618;2024-01-05;2024;1;5;3;9.08202004739153e-05
17619;2024-01-05;2024;1;5;4;8.465002138140892e-05
17620;2024-01-05;2024;1;5;5;8.260013313102755e-05
17621;2024-01-05;2024;1;5;6;8.544882623007252e-05
17622;2024-01-05;2024;1;5;7;9.757292815210879e-05
17623;2024-01-05;2024;1;5;8;0.00012426486285220794
17624;2024-01-05;2024;1;5;9;0.0001376569443386188
17625;2024-01-05;2024;1;5;10;0.00014426029436488441
17626;2024-01-05;2024;1;5;11;0.0001511963517298319
17627;2024-01-05;2024;1;5;12;0.00015010213480750752
17628;2024-01-05;2024;1;5;13;0.0001493279170854658
17629;2024-01-05;2024;1;5;14;0.0001564924376326141
17630;2024-01-05;2024;1;5;15;0.00016026815328264274
17631;2024-01-05;2024;1;5;16;0.00015354508270621912
17632;2024-01-05;2024;1;5;17;0.00014770476110154683
17633;2024-01-05;2024;1;5;18;0.00014928098645858724
17634;2024-01-05;2024;1;5;19;0.00016576566509528905
17635;2024-01-05;2024;1;5;20;0.0001818399267885384
17636;2024-01-05;2024;1;5;21;0.00019208405063677816
17637;2024-01-05;2024;1;5;22;0.00019636339286733991
17638;2024-01-05;2024;1;5;23;0.0001832281680182409
17639;2024-01-05;2024;1;5;24;0.00015821508735913275
17640;2024-01-06;2024;1;6;1;0.00013376388376405064
17641;2024-01-06;2024;1;6;2;0.00011426398663274923
17642;2024-01-06;2024;1;6;3;9.899369326911987e-05
17643;2024-01-06;2024;1;6;4;8.952949302285657e-05
17644;2024-01-06;2024;1;6;5;8.468596192375877e-05
17645;2024-01-06;2024;1;6;6;8.364728510051566e-05
17646;2024-01-06;2024;1;6;7;8.557126392247713e-05
17647;2024-01-06;2024;1;6;8;9.076026720672019e-05
17648;2024-01-06;2024;1;6;9;9.951652306503375e-05
17649;2024-01-06;2024;1;6;10;0.00012346945164056728
17650;2024-01-06;2024;1;6;11;0.0001475854593162981
17651;2024-01-06;2024;1;6;12;0.0001581343437286137
17652;2024-01-06;2024;1;6;13;0.00015988160679605552
17653;2024-01-06;2024;1;6;14;0.000166835655585542
17654;2024-01-06;2024;1;6;15;0.00016693329702170408
17655;2024-01-06;2024;1;6;16;0.00015044124797205952
17656;2024-01-06;2024;1;6;17;0.00014111201002820284
17657;2024-01-06;2024;1;6;18;0.00014163691359933954
17658;2024-01-06;2024;1;6;19;0.0001612699085609897
17659;2024-01-06;2024;1;6;20;0.00017836363606125695
17660;2024-01-06;2024;1;6;21;0.00019109190076922581
17661;2024-01-06;2024;1;6;22;0.00019319542772347942
17662;2024-01-06;2024;1;6;23;0.00017580036557858118
17663;2024-01-06;2024;1;6;24;0.0001479461362055988
17664;2024-01-07;2024;1;7;1;0.00013376388376405064
17665;2024-01-07;2024;1;7;2;0.00011426398663274923
17666;2024-01-07;2024;1;7;3;9.899369326911987e-05
17667;2024-01-07;2024;1;7;4;8.952949302285657e-05
17668;2024-01-07;2024;1;7;5;8.468596192375877e-05
17669;2024-01-07;2024;1;7;6;8.364728510051566e-05
17670;2024-01-07;2024;1;7;7;8.557126392247713e-05
17671;2024-01-07;2024;1;7;8;9.076026720672019e-05
17672;2024-01-07;2024;1;7;9;9.951652306503375e-05
17673;2024-01-07;2024;1;7;10;0.00012346945164056728
17674;2024-01-07;2024;1;7;11;0.0001475854593162981
17675;2024-01-07;2024;1;7;12;0.0001581343437286137
17676;2024-01-07;2024;1;7;13;0.00015988160679605552
17677;2024-01-07;2024;1;7;14;0.000166835655585542
17678;2024-01-07;2024;1;7;15;0.00016693329702170408
17679;2024-01-07;2024;1;7;16;0.00015044124797205952
17680;2024-01-07;2024;1;7;17;0.00014111201002820284
17681;2024-01-07;2024;1;7;18;0.00014163691359933954
17682;2024-01-07;2024;1;7;19;0.0001612699085609897
17683;2024-01-07;2024;1;7;20;0.00017836363606125695
17684;2024-01-07;2024;1;7;21;0.00019109190076922581
17685;2024-01-07;2024;1;7;22;0.00019319542772347942
17686;2024-01-07;2024;1;7;23;0.00017580036557858118
17687;2024-01-07;2024;1;7;24;0.0001479461362055988
17688;2024-01-08;2024;1;8;1;0.00012110665331971697
17689;2024-01-08;2024;1;8;2;0.00010034428030509824
17690;2024-01-08;2024;1;8;3;8.88542393090438e-05
17691;2024-01-08;2024;1;8;4;8.307594531430551e-05
17692;2024-01-08;2024;1;8;5;8.115584397257335e-05
17693;2024-01-08;2024;1;8;6;8.389048826344161e-05
17694;2024-01-08;2024;1;8;7;9.616458848796642e-05
17695;2024-01-08;2024;1;8;8;0.00012284931828581376
17696;2024-01-08;2024;1;8;9;0.000135312998699586
17697;2024-01-08;2024;1;8;10;0.00014170976355838471
17698;2024-01-08;2024;1;8;11;0.0001497129601493009
17699;2024-01-08;2024;1;8;12;0.00015004454786026958
17700;2024-01-08;2024;1;8;13;0.00015102500278691965
17701;2024-01-08;2024;1;8;14;0.00015959743027477697
17702;2024-01-08;2024;1;8;15;0.0001637201226306878
17703;2024-01-08;2024;1;8;16;0.00015580732870035003
17704;2024-01-08;2024;1;8;17;0.00014888240723076032
17705;2024-01-08;2024;1;8;18;0.0001513353575292988
17706;2024-01-08;2024;1;8;19;0.00016988129480757005
